BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,DOI
6,076951877X,Harder2003,"Harder, Michael; Mellen, Jeff; Ernst, Michael D.",Improving Test Suites via Operational Abstraction,,,,,60–71,2003,USA,,,Proceedings of the 25th International Conference on Software Engineering,,,ICSE '03,,IEEE Computer Society,,,,,,,"This paper presents the operational difference technique for generating, augmenting, and minimizing test suites. The technique is analogous to structural code coverage techniques, but it operates in the semantic domain of program properties rather than the syntactic domain of program text.The operational difference technique automatically selects test cases; it assumes only the existence of a source of test cases. The technique dynamically generates operational abstractions (which describe observed behavior and are syntactically identical to formal specifications) from test suite executions. Test suites can be generated by adding cases until the operational abstraction stops changing. The resulting test suites are as small, and detect as many faults, as suites with 100% branch coverage, and are better at detecting certain common faults.This paper also presents the area and stacking techniques for comparing test suite generation strategies; these techniques avoid bias due to test suite size.",,,,,10.1109/icse.2003.1201188
6,1595932399,Bradbury2005,"Bradbury, Jeremy S.; Cordy, James R.; Dingel, Juergen",An Empirical Framework for Comparing Effectiveness of Testing and Property-Based Formal Analysis,,,,,2–5,2005,"New York, NY, USA",,https://doi.org/10.1145/1108792.1108795,Proceedings of the 6th ACM SIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,,,PASTE '05,,Association for Computing Machinery,,,,,,,"Today, many formal analysis tools are not only used to provide certainty but are also used to debug software systems - a role that has traditional been reserved for testing tools. We are interested in exploring the complementary relationship as well as tradeoffs between testing and formal analysis with respect to debugging and more specifically bug detection. In this paper we present an approach to the assessment of testing and formal analysis tools using metrics to measure the quantity and efficiency of each technique at finding bugs. We also present an assessment framework that has been constructed to allow for symmetrical comparison and evaluation of tests versus properties. We are currently beginning to conduct experiments and this paper presents a discussion of possible outcomes of our proposed empirical study.",,"mutation testing, model checking, empirical software engineering, bug detection, static analysis",,,10.1145/1108792.1108795
7,,Bradbury2005a,"Bradbury, Jeremy S.; Cordy, James R.; Dingel, Juergen",An Empirical Framework for Comparing Effectiveness of Testing and Property-Based Formal Analysis,SIGSOFT Softw. Eng. Notes,31,1,September,2–5,2005,"New York, NY, USA",,https://doi.org/10.1145/1108768.1108795,,,,,,Association for Computing Machinery,,,,,,,"Today, many formal analysis tools are not only used to provide certainty but are also used to debug software systems - a role that has traditional been reserved for testing tools. We are interested in exploring the complementary relationship as well as tradeoffs between testing and formal analysis with respect to debugging and more specifically bug detection. In this paper we present an approach to the assessment of testing and formal analysis tools using metrics to measure the quantity and efficiency of each technique at finding bugs. We also present an assessment framework that has been constructed to allow for symmetrical comparison and evaluation of tests versus properties. We are currently beginning to conduct experiments and this paper presents a discussion of possible outcomes of our proposed empirical study.",,"static analysis, empirical software engineering, bug detection, mutation testing, model checking",,,10.1145/1108768.1108795
6,159593300X,Xie2006,"Xie, Tao; Zhao, Jianjun",A Framework and Tool Supports for Generating Test Inputs of AspectJ Programs,,,,,190–201,2006,"New York, NY, USA",,https://doi.org/10.1145/1119655.1119681,Proceedings of the 5th International Conference on Aspect-Oriented Software Development,,,AOSD '06,,Association for Computing Machinery,,,,,,,"Aspect-oriented software development is gaining popularity with the wider adoption of languages such as AspectJ. To reduce the manual effort of testing aspects in AspectJ programs, we have developed a framework, called Aspectra, that automates generation of test inputs for testing aspectual behavior, i.e., the behavior implemented in pieces of advice or intertype methods defined in aspects. To test aspects, developers construct base classes into which the aspects are woven to form woven classes. Our approach leverages existing test-generation tools to generate test inputs for the woven classes; these test inputs indirectly exercise the aspects. To enable aspects to be exercised during test generation, Aspectra automatically synthesizes appropriate wrapper classes for woven classes. To assess the quality of the generated tests, Aspectra defines and measures aspectual branch coverage (branch coverage within aspects). To provide guidance for developers to improve test coverage, Aspectra also defines interaction coverage. We have developed tools for automating Aspectra's wrapper synthesis and coverage measurement, and applied them on testing 12 subjects taken from a variety of sources. Our experience has shown that Aspectra effectively provides tool supports in enabling existing test-generation tools to generate test inputs for improving aspectual branch coverage.",,"coverage criteria, coverage measurement, software testing, AspectJ, aspect-oriented programs, test generation, aspect-oriented software development",,,10.1145/1119655.1119681
6,9781595938503,Fraser2007,"Fraser, Gordon; Wotawa, Franz",Using LTL Rewriting to Improve the Performance of Model-Checker Based Test-Case Generation,,,,,64–74,2007,"New York, NY, USA",,https://doi.org/10.1145/1291535.1291542,Proceedings of the 3rd International Workshop on Advances in Model-Based Testing,,,A-MOST '07,,Association for Computing Machinery,,,,,,,"Model-checkers have recently been suggested for automated software test-case generation. Several works have presented methods that create efficient test-suites using model-checkers. Ease of use and complete automation are major advantages of such approaches. However, the use of a model-checker comes at the price of potential performance problems. If the model used for test-case generation is complex, then model-checker based approaches can be very slow, or even not applicable at all. In this paper, we identify that unnecessary, redundant calls to the model-checker are one of the causes of bad performance. To overcome this problem, we suggest the use of temporal logic rewriting techniques, which originate from runtime verification research. This achieves a significant increase in the performance, and improves the applicability of model-checker based test-case generation approaches in general. At the same time, the suggested techniques achieve a reduction of the resulting test-suite sizes without degradation of the fault sensitivity. This helps to reduce the costs of the test-case execution.",,"test-case generation with model-checkers, LTL rewriting, automated software testing",,,10.1145/1291535.1291542
6,9781605580791,Rajan2008,"Rajan, Ajitha; Whalen, Michael W.; Heimdahl, Mats P. E.",The Effect of Program and Model Structure on Mc/Dc Test Adequacy Coverage,,,,,161–170,2008,"New York, NY, USA",,https://doi.org/10.1145/1368088.1368111,Proceedings of the 30th International Conference on Software Engineering,,,ICSE '08,,Association for Computing Machinery,,,,,,,"In avionics and other critical systems domains, adequacy of test suites is currently measured using the MC/DC metric on source code (or on a model in model-based development). We believe that the rigor of the MC/DC metric is highly sensitive to the structure of the implementation and can therefore be misleading as a test adequacy criterion. We investigate this hypothesis by empirically studying the effect of program structure on MC/DC coverage.To perform this investigation, we use six realistic systems from the civil avionics domain and two toy examples. For each of these systems, we use two versions of their implementation-with and without expression folding (i.e., inlining). To assess the sensitivity of MC/DC to program structure, we first generate test suites that satisfy MC/DC over a non-inlined implementation. We then run the generated test suites over the inlined implementation and measure MC/DC achieved. For our realistic examples, the test suites yield an average reduction of 29.5% in MC/DC achieved over the inlined implementations at 5% statistical significance level.",,structural coverage metrics,,,10.1145/1368088.1368111
7,,Fraser2009,"Fraser, G.; Wotawa, F.; Ammann, P.",Issues in using model checkers for test case generation,Journal of Systems and Software,82,9,,1403-1418,2009,,cited By 26,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68949100459&doi=10.1016%2fj.jss.2009.05.016&partnerID=40&md5=10cb02a3f89ebe55aa1497253d1fb57b,,,,,,,,,,,,,"The use of model checkers for automated software testing has received some attention in the literature: It is convenient because it allows fully automated generation of test suites for many different test objectives. On the other hand, model checkers were not originally meant to be used this way but for formal verification, so using model checkers for testing is sometimes perceived as a ""hack"". Indeed, several drawbacks result from the use of model checkers for test case generation. If model checkers were designed or adapted to take into account the needs that result from the application to software testing, this could lead to significant improvements with regard to test suite quality and performance. In this paper we identify the drawbacks of current model checkers when used for testing. We illustrate techniques to overcome these problems, and show how they could be integrated into the model checking process. In essence, the described techniques can be seen as a general road map to turn model checkers into general purpose testing tools. © 2009 Elsevier Inc. All rights reserved.",,"Automated generation; Automated software testing; Automated test case generation; Current models; Formal verifications; General purpose; Minimization; Model checker; Performance; Road-maps; Test case generation; Testing tools; Turn model, Automation; Computer software selection and evaluation; Software testing; Testing, Model checking",,,10.1016/j.jss.2009.05.016
6,9781605583389,Halfond2009,"Halfond, William G. J.; Anand, Saswat; Orso, Alessandro",Precise Interface Identification to Improve Testing and Analysis of Web Applications,,,,,285–296,2009,"New York, NY, USA",,https://doi.org/10.1145/1572272.1572305,Proceedings of the Eighteenth International Symposium on Software Testing and Analysis,,,ISSTA '09,,Association for Computing Machinery,,,,,,,"As web applications become more widespread, sophisticated, and complex, automated quality assurance techniques for such applications have grown in importance. Accurate interface identification is fundamental for many of these techniques, as the components of a web application communicate extensively via implicitly-defined interfaces to generate customized and dynamic content. However, current techniques for identifying web application interfaces can be incomplete or imprecise, which hinders the effectiveness of quality assurance techniques. To address these limitations, we present a new approach for identifying web application interfaces that is based on a specialized form of symbolic execution. In our empirical evaluation, we show that the set of interfaces identified by our approach is more accurate than those identified by other approaches. We also show that this increased accuracy leads to improvements in several important quality assurance techniques for web applications: test-input generation, penetration testing, and invocation verification.",,"interface identification, web application testing",,,10.1145/1572272.1572305
6,9781605583389,Polikarpova2009,"Polikarpova, Nadia; Ciupa, Ilinca; Meyer, Bertrand",A Comparative Study of Programmer-Written and Automatically Inferred Contracts,,,,,93–104,2009,"New York, NY, USA",,https://doi.org/10.1145/1572272.1572284,Proceedings of the Eighteenth International Symposium on Software Testing and Analysis,,,ISSTA '09,,Association for Computing Machinery,,,,,,,"Where do contracts - specification elements embedded in executable code - come from? To produce them, should we rely on the programmers, on automatic tools, or some combination?Recent work, in particular the Daikon system, has shown that it is possible to infer some contracts automatically from program executions. The main incentive has been an assumption that most programmers are reluctant to invent the contracts themselves. The experience of contract-supporting languages, notably Eiffel, disproves that assumption: programmers will include contracts if given the right tools. That experience also shows, however, that the resulting contracts are generally partial and occasionally incorrect.Contract inference tools provide the opportunity for studying objectively the quality of programmer-written contracts, and for assessing the respective roles of humans and tools. Working on 25 classes taken from different sources such as widely-used standard libraries and code written by students, we applied Daikon to infer contracts and compared the results (totaling more than 19500 inferred assertion clauses) with the already present contracts.We found that a contract inference tool can be used to strengthen programmer-written contracts, but cannot infer all contracts that humans write. The tool generates around five times as many relevant assertion clauses as written by programmers; but it only finds around 60% of those originally written by programmers. Around a third of the generated assertions clauses are either incorrect or irrelevant. The study also uncovered interesting correlations between the quality of inferred contracts and some code metrics.",,"eiffel, dynamic contract inference",,,10.1145/1572272.1572284
6,9781605580012,Sherman2009,"Sherman, Elena; Dwyer, Matthew B.; Elbaum, Sebastian",Saturation-Based Testing of Concurrent Programs,,,,,53–62,2009,"New York, NY, USA",,https://doi.org/10.1145/1595696.1595706,Proceedings of the 7th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on The Foundations of Software Engineering,,,ESEC/FSE '09,,Association for Computing Machinery,,,,,,,"Coverage measures help to determine whether a test suite exercises a program adequately according to a testing criterion. Many existing measures, however, are defined over coverage domains that cannot be precisely calculated, rendering them of limited value in assessing the extent of testing activities. To exploit the use of such measures, we formalize saturation-based test adequacy, a form of adequacy focused on the rate at which coverage increases during test suite execution. We define a family of coverage metrics for concurrent program testing that are well-suited to saturation-based adequacy and present a study that explores their cost and effectiveness. The results of this study suggest that saturation-based testing can serve as an effective complement to traditional notions of coverage-based testing.",,"test adequacy criteria, concurrent programs, coverage",,,10.1145/1595696.1595706
