Title,Authors,Published,DOI,Published_In,Referenced_By
(Quickly) testing the tester via path coverage,Alex,2009,10.1145/2134243.2134249,Proceedings of the Seventh International Workshop on Dynamic Analysis - WODA '09,
(Un-)Covering Equivalent Mutants,"David, Andreas",2010,10.1109/ICST.2010.30,"2010 Third International Conference on Software Testing, Verification and Validation",
A Comparison of Mutation Analysis Tools for Java,"Mickael, Lydie",2013-7,10.1109/QSIC.2013.47,2013 13th International Conference on Quality Software,
A Concept Analysis Inspired Greedy Algorithm for Test Suite Minimization,"Tallam, S. and Gupta, N.",2005,,The 6th ACM SIGPLAN-SIGSOFT workshop on Program analysis for software tools and engineering  - PASTE '05,RealesMateo2013
A Dissection of the Test-Driven Development Process: Does It Really Matter to Test-First or to Test-Last?,"Davide, Hakan, Burak, Markku, Natalia",2017-7-1,10.1109/TSE.2016.2616877,IEEE Transactions on Software Engineering,
A Fortran Language System for Mutation Based Software Testing,"King, K.N. and Offutt, A.J.",1991,,Software: Practice and Experience,RealesMateo2013
A Fortran language system for mutation-based software testing,"King, K.N. and Offutt, A.J.",1991,,Software: Practice and Experience,McMinn2019
A Hitchhiker's guide to statistical tests for assessing randomized algorithms in software engineering,"Andrea, Lionel",2012-11-6,10.1002/stvr.1486,"Software Testing, Verification and Reliability",
A Hitchhiker’s guide to statistical tests for assessing randomized algorithms in software engineering,"Arcuri, A. and Briand, L.",2014,,"Software Testing, Verification and Reliability",Gopinath2017a
A Little Language for Testing,"Alex, Jervis",2015,10.1007/978-3-319-17524-9_15,"Lecture Notes in Computer Science, NASA Formal Methods",
A Logic Mutation Approach to Selective Mutation for Programs and Queries,"Kaminski, G. and Praphamontripong, U. and Ammann, P. and Offutt, J.",2011,,Information and Software Technology,RealesMateo2013
A Manifesto for Higher Order Mutation Testing,"Mark, Yue, William B.",2010-4,10.1109/ICSTW.2010.13,"2010 Third International Conference on Software Testing, Verification, and Validation Workshops",
A Methodology for Controlling the Size of a Test Suite,"Harrold, M. and Gupta, R. and Soffa, M.",1993,,Proceedings. Conference on Software Maintenance 1990,RealesMateo2013
A Practitioner’s Guide to Software Test Design,"Copeland, L.",2004,,,Tengeri2015
A SPECIFICATION-BASED COVERAGE METRIC TO EVALUATE TEST SETS,"PAUL E., PAUL E.",2001-12,10.1142/S0218539301000530,"International Journal of Reliability, Quality and Safety Engineering",
A Static Approach to Prioritizing JUnit Test Cases,"Hong, Dan, Lingming, Lu, Ji, Gregg",2012-11,10.1109/TSE.2011.106,IEEE Transactions on Software Engineering,
A Statistical Approach to Model-Based Robustness Testing,"Miroslav, Jelena",2007-3,10.1109/ECBS.2007.13,14th Annual IEEE International Conference and Workshops on the Engineering of Computer-Based Systems (ECBS'07),
A Study and Review on the Development of Mutation Testing Tools for Java and Aspect-J Programs,"Pradeep, , Om Prakash, Arun, , ",2014-11-8,10.5815/ijmecs.2014.11.01,International Journal of Modern Education and Computer Science,
A Survey of Coverage-Based Testing Tools,"Q., J. J., D. M.",2007-5-25,10.1093/comjnl/bxm021,The Computer Journal,
A Survey on Unit Testing Practices and Problems,"Ermira, Gordon",2014-11,10.1109/ISSRE.2014.11,2014 IEEE 25th International Symposium on Software Reliability Engineering,
A Test Generation Strategy for Pairwise Testing,"Tai, K.-C. and Lei, Y.",2002-01,,,RealesMateo2013
A Test-Suite Diagnosability Metric for Spectrum-Based Fault Localization Approaches,"Alexandre, Rui, Arie",2017-5,10.1109/ICSE.2017.66,2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE),
