Title,Abstract,Authors,Published,Published_In
A combined approach to optimize the test suite size in regression testing,"Testing is an important software engineering activity which is widely used by testers to reveal faults and improve the quality of the software by omitting or removing the detected faults. After required subsequent modifications in the software, there is a need to re-validate","['S Singh', 'R Shree']",2016,CSI Transactions on ICT
A comparative study of manual and automated testing for industrial control software,"Automated test generation has been suggested as a way of creating tests at a lower cost. Nonetheless, it is not very well studied how such tests compare to manually written ones in terms of cost and effectiveness. This is particularly true for industrial control software, where","['E Enoiu', 'D Sundmark', 'A Čaušević']",2017,"2017 IEEE International Conference on Software Testing, Verification and Validation (ICST)"
A comparative study of manual and automated testing in industrial embedded software,"Automated test generation has been suggested as a way of creating tests at a lower cost. Nonetheless, it is not very well studied how such tests compare to manually written ones in terms of cost and effectiveness. This is particularly true for industrial control software, where","['EP Enoiu', 'D Sundmark', 'A Causevic']",2016,
A comparative study of whole issues and challenges in mutation testing,Mutation testing is a powerful and expensive method in software testing context. It is used as a test criterion to assess the quality of test suites or generate test suites which are able to kill mutants created by seeding artificial defects in the original program code. These test suites,"['NN Bokaei', 'MR Keyvanpour']",2019,2019 5th Conference on Knowledge Based Engineering and Innovation (KBEI)
A comprehensive framework for testing database-centric software applications,"The database is a critical component of many modern software applications. Recent reports indicate that the vast majority of database use occurs from within an application program. Indeed, database-centric applications have been implemented to create digital libraries",['GM Kapfhammer'],2007,
A comprehensive study of pseudo-tested methods,"Pseudo-tested methods are defined as follows: they are covered by the test suite, yet no test case fails when the method body is removed, ie, when all the effects of this method are suppressed. This intriguing concept was coined in 2016, by Niedermayr and colleagues","['OL Vera-Pérez', 'B Danglot', 'M Monperrus']",2019,Empirical Software Engineering
A context-sensitive coverage criterion for test suite reduction,"Modern software is increasingly developed using multi-language implementations, large supporting libraries and frameworks, callbacks, virtual function calls, reflection, multithreading, and object-and aspect-oriented programming. The predominant example of",['SD McMaster'],2008,
A controlled experiment in testing of safety-critical embedded software,"In engineering of safety critical systems, regulatory standards often put requirements on both traceable specification-based testing, and structural coverage on program units. Automated test generation techniques can be used to generate inputs to cover the structural aspects of","['EP Enoiu', 'A Cauevic', 'D Sundmark']",2016,"2016 IEEE International Conference on Software Testing, Verification and Validation (ICST)"
A correlation study between automated program repair and test-suite metrics,"Automated program repair is increasingly gaining traction, due to its potential to reduce debugging cost greatly. The feasibility of automated program repair has been shown in a number of works, and the research focus is gradually shifting toward the quality of generated","['J Yi', 'SH Tan', 'S Mechtaev', 'M Böhme']",2018,Proceedings of the 40th International Conference on Software Engineering
A dataflow testing approach for aspect-oriented programs,"Dataflow testing of programs ensures the execution of data dependencies between locations in the code (1) where variables are assigned values, and (2) where these definitions are used. Such data dependencies are called Def-Use Associations (DUAs). In","['F Wedyan', 'S Ghosh']",2010,2010 IEEE 12th International Symposium on High Assurance Systems Engineering
A delta-debugging approach to assessing the resilience of actor programs through run-time test perturbations,"Among distributed applications, the actor model is increasingly prevalent. This programming model organises applications into fully-isolated processes that communicate through asynchronous messaging. Supported by frameworks such as Akka and Orleans, it is","['J De Bleser', 'D Di Nucci', 'C De Roover']",2020,Proceedings of the IEEE/ACM 1st International Conference on Automation of Software Test
A flexible and non-intrusive approach for computing complex structural coverage metrics,Software analysis tools and techniques often leverage structural code coverage information to reason about the dynamic behavior of software. Existing techniques instrument the code with the required structural obligations and then monitor the execution of the compiled code,"['MW Whalen', 'S Person', 'N Rungta']",2015,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering
A framework to advise tests using tests,"Tests generated by different approaches can form a rich body of information about the system under test (SUT), which can then be used to amplify the power of test suites. Diversity in test representations, however, creates an obstacle to extracting and using this information","['Y Wang', 'S Person', 'S Elbaum', 'MB Dwyer']",2014,Companion Proceedings of the 36th International Conference on Software Engineering
A joinpoint coverage measurement tool for evaluating the effectiveness of test inputs for aspectj programs,"Testing aspect-oriented programs is challenging in part because of the interactions between the aspects and the base classes with which the aspects are woven. Coverage metrics, such as joinpoint coverage, address faults resulting from the changes in base class control flow","['F Wedyan', 'S Ghosh']",2008,2008 19th International Symposium on Software Reliability Engineering (ISSRE)
A large-scale empirical comparison of static and dynamic test case prioritization techniques,"The large body of existing research in Test Case Prioritization (TCP) techniques, can be broadly classified into two categories: dynamic techniques (that rely on run-time execution information) and static techniques (that operate directly on source and test code). Absent","['Q Luo', 'K Moran', 'D Poshyvanyk']",2016,Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering
A large-scale evaluation of automated unit test generation using evosuite,"Research on software testing produces many innovative automated techniques, but because software testing is by necessity incomplete and approximate, any new technique faces the challenge of an empirical assessment. In the past, we have demonstrated scientific","['G Fraser', 'A Arcuri']",2014,ACM Transactions on Software Engineering and Methodology
A large-scale study of test coverage evolution,"Statement coverage is commonly used as a measure of test suite quality. Coverage is often used as a part of a code review process: if a patch decreases overall coverage, or is itself not covered, then the patch is scrutinized more closely. Traditional studies of how coverage","['M Hilton', 'J Bell', 'D Marinov']",2018,Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering
A machine learning approach for classification of equivalent mutants,"Mutation testing is a fault‐based technique to test the quality of test suites by inducing artificial syntactic faults or mutants in a source program. However, some mutants have the same semantics as original program and cannot be detected by any test suite input known","['MR Naeem', 'T Lin', 'H Naeem']",2020,Journal of Software: Evolution and Process
A method for finding missing unit tests,"Because tests are important to the development process, developers need to know when a test suite is missing tests. Missing tests—tests that should be included in a test suite but are not—reduce the utility that developers can derive from a test suite. Currently, developers find","['D Gaston', 'J Clause']",2020,2020 IEEE International Conference on Software Maintenance and Evolution (ICSME)
A model to estimate first-order mutation coverage from higher-order mutation coverage,"The test suite is essential for fault detection during software development. First-order mutation coverage is an accurate metric to quantify the quality of the test suite. However, it is computationally expensive. Hence, the adoption of this metric is limited. In this study, we","['A Parsai', 'A Murgia', 'S Demeyer']",2016,"2016 IEEE International Conference on Software Quality, Reliability and Security (QRS)"
A model‐driven framework to enhance the consistency of logical integrity constraints: Introducing integrity regression testing,"Although the importance of models continuously grows in software development, common development approaches are less able to integrate the automatic management of model integrity into the development process. These critically important constraints may ensure the",['M Nooraei Abadeh'],2019,Software: Practice and Experience
A multi-objective optimization approach for selection of second order mutant generation strategies,"The use of Higher-Order Mutants (HOMs) presents some advantages concerning the traditional use of First-Order Mutants (FOMs). HOMs can better simulate real and subtle faults, reduce the number of generated mutants and test cases, and so on","['JAP Lima', 'SR Vergilio']",2017,Proceedings of the 2nd Brazilian Symposium on Systematic and Automated Software Testing - SAST
A mutation analysis framework for simulink models,"Mutation analysis is a fault-based method used for introducing small changes into a program, producing mutants based on mutation operators, classes of commonly occurring faults. Mutation analysis has been used in the last couple of decades for evaluating how",['H Runge'],2018,
A new dimension of test quality: assessing and generating higher quality unit test cases,"Unit tests form the first defensive line against the introduction of bugs in software systems. Therefore, their quality is of a paramount importance to produce robust and reliable software. To assess test quality, many organizations relies on metrics like code and mutation",['G Grano'],2019,Proceedings of the 28th ACM SIGSOFT International Symposium on Software Testing and Analysis
A new perspective on the competent programmer hypothesis through the reproduction of bugs with repeated mutations,"The competent programmer hypothesis states that most programmers are competent enough to create correct or almost correct source code. Because this implies that bugs should usually manifest through small variations of the correct code, the competent","['E Stein', 'S Herbold', 'F Trautsch', 'J Grabowski']",2021,
A new similarity-based greedy approach for generating effective test suite,"Software regression testing is one of the most critical phases of software development life cycle, used by developers with the intent of detecting new faults to validate modified software prior to delivery to the customer. To validate updated features, new test cases are","['S Singh', 'R Shree']",2018,International Journal of Intelligent Engineering and Systems
A new structural coverage criterion for dynamic detection of program invariants,Dynamic detection of program invariants is emerging as an important research area with many challenging problems. Generating suitable test cases that support accurate detection of program invariants is crucial to the dynamic approach of program invariant detection. In,"['N Gupta', 'ZV Heidepriem']",2003,"18th IEEE International Conference on Automated Software Engineering, 2003. Proceedings."
A novel approach for mutant diversity-based fault localization: DAM-FL,"Locating faults after detecting is one of the important steps in software debugging. For fault localization, many approaches are there. Mutant based approaches are also available for fault localization and they have performed better compared to statement based approaches","['N Gupta', 'A Sharma', 'MK Pachariya']",2019,International Journal of Computers and Applications
A novel technique for testing an aspect oriented software system using genetic and fuzzy clustering algorithm,"Testing of software is a worthwhile aspect of software development life cycle. Effective and efficient test cases must be designed to test the software which will reduce the testing cost, time and effort. Nowadays, testing an aspect-oriented program is becoming a challenge for","['S Dalal', 'S Hooda']",2017,2017 International Conference on Computer and Applications (ICCA)
A novel test case generation method based on program structure diagram,"At present, embedded software has the problems of test lag, non-visual and low efficiency, depending on the test design of testers. It cannot guarantee the quality of the test cases and cannot guarantee the quality of the test. In this paper, a software program structure diagram","['X Wu', 'M Qu', 'Y Tao', 'G Wang']",2019,International Journal of Grid and Utility Computing
A novel use of equivalent mutants for static anomaly detection in software artifacts,"Context: In mutation analysis, a mutant of a software artifact, either a program or a model, is said equivalent if it leaves the artifact meaning unchanged. Equivalent mutants are usually seen as an inconvenience and they reduce the applicability of mutation analysis. Objective","['P Arcaini', 'A Gargantini', 'E Riccobene']",2017,Information and Software Technology
