Title,Authors,Skip,Abstract
A Practitioner’s Guide to Software Test Design,"Copeland, L.",x (Book),
A Test Generation Strategy for Pairwise Testing,"Tai, K.-C. and Lei, Y.",,"Pairwise testing is a specification-based testing criterion which requires that for each pair of input parameters of a system, every combination of valid values of these two parameters be covered by at least one test case. The authors propose a novel test generation strategy for pairwise testing."
A Tester-Assisted Methodology for Test Redundancy Detection,"Negar, Vahid",,"Test redundancy detection reduces test maintenance costs and also ensures the integrity of test suites. One of the most widely used approaches for this purpose is based on coverage information. In a recent work, we have shown that although this information can be useful in detecting redundant tests, it may suffer from large number of false-positive errors, that is, a test case being identified as redundant while it is really not. In this paper, we propose a semiautomated methodology to derive a reduced test suite from a given test suite, while keeping the fault detection effectiveness unchanged. To evaluate the methodology, we apply the mutation analysis technique to measure the fault detection effectiveness of the reduced test suite of a real Java project. The results confirm that the proposed manual interactive inspection process leads to a reduced test suite with the same fault detection ability as the original test suite."
A comprehensive framework for testing database-centric applications,"Kapfhammer, G.M.",,"The database is a critical component of many modern software applications. Recent reports indicate that the vast majority of database use occurs from within an application program. Indeed, database-centric applications have been implemented to create digital libraries, scientific data repositories, and electronic commerce applications. However, a database-centric application is very different from a traditional software system because it interacts with a database that has a complex state and structure. This dissertation formulates a comprehensive framework to address the challenges that are associated with the efficient and effective testing of database-centric applications. The database-aware approach to testing includes: (i) a fault model, (ii) several unified representations of a program's database interactions, (iii) a family of test adequacycriteria, (iv) a test coverage monitoring component, and (v) tools for reducing and re-ordering a test suite during regression testing.This dissertation analyzes the worst-case time complexity of every important testing algorithm. This analysis is complemented by experiments that measure the efficiency and effectiveness of thedatabase-aware testing techniques. Each tool is evaluated by using it to test six database-centric applications. The experiments show thatthe database-aware representations can be constructed with moderate time and space overhead. The adequacy criteria call for test suitesto cover 20% more requirements than traditional criteria and this ensures the accurate assessment of test suite quality. It is possibleto enumerate data flow-based test requirements in less than one minute and coverage tree path requirements are normally identified in no morethan ten seconds. The experimental results also indicate that the coverage monitor can insert instrumentation probes into all six of theapplications in fewer than ten seconds. Although instrumentation may moderately increase the static space overhead of an application, the coverage monitoring techniques only increase testing time by 55% on average. A coverage tree often can be stored in less than five seconds even though the coverage report may consume up to twenty-fivemegabytes of storage. The regression tester usually reduces or prioritizes a test suite in under five seconds. The experiments also demonstrate that the modified test suite is frequently more streamlined than the initial tests."
A hybrid coverage criterion for dynamic web testing,"Zou, Y. and Fang, C. and Chen, Z. and Zhang, X. and Zhao, Z.",,"Testing criterion is a fundamental topic of software testing. A criterion is important to evaluate and drive a testing method. Code coverage is widely used in software testing, due to its simple implementation and effectiveness. Dynamic web techniques have been used to improve the usability and user experience of applications. However, it brings some new challenges for testing. Dynamic web applications have richer iterations between client-side and server-side, such that code coverage is difficult to capture these complex iterations for sufficient testing. In this paper, we present a novel coverage criterion - hybrid coverage. A hybrid coverage criterion which combines statement coverage and HTML element coverage, covers both client-side and server-side features. The experimental result shows that the hybrid coverage can detect 22.2%-48.1% more bugs than statement coverage, 7.9%-57.1% more bugs than element coverage."
A manager’s guide to evaluating test suites,"Marick, B. and Bach, J. and Kaner, C.Cem",x (not found),
A novel approach to collaborative testing in a crowdsourcing environment,"Tung, Y.-H. and Tseng, S.-S.",,"Software testing processes are generally labor-intensive and often involve substantial collaboration among testers, developers, and even users. However, considerable human resource capacity exists on the Internet in social networks, expert communities, or internet forums—referred to as crowds. Effectively using crowd resources to support collaborative testing is an interesting and challenging topic. This paper defines the collaborative testing problem in a crowd environment as an NP-Complete job assignment problem and formulates it as an integer linear programming (ILP) problem. Although package tools can be used to obtain the optimal solution to an ILP problem, computational complexity makes these tools unsuitable for solving large-scale problems. This study uses a greedy approach with four heuristic strategies to solve the problem. This is called the crowdsourcing-based collaborative testing approach. This approach includes two phases, training phase and testing phase. The training phase transforms the original problem into an ILP problem. The testing phase solves the ILP using heuristic strategies. A prototype system, called the Collaborative Testing System (COTS), is also implemented. The experiment results show that the proposed heuristic algorithms produce good quality approximate solutions in an acceptable timeframe."
A novel method of mutation clustering based on domain analysis,"Ji, C. and Chen, Z. and Xu, B. and Zhao, Z.",,"Mutation testing is an effective but expensive technique. There exists much improvement to help mutation testing become a wide-used technique. The main objective is to reduce the number of mutants and the reduced test sets can still approximate the adequacy. Recently a new method, called mutation clustering, is proposed to integrate data clustering and mutation analysis, such that both mutant sets and test sets can be reduced dramatically. This paper provides domain analysis to cluster mutants statically before test case generation. And then the simplified mutant set is used to generate a test set. We hypothesize that such a test set can kill the original mutant set approximately. The cost of mutation testing will further decrease, because only a small test set needs to be generated and executed. A case study shows an encouraging result to support our hypothesis."
A practical tutorial on modified condition/decision coverage,"Hayhurst, K. and Veerhusen, D. and Rierson, L.",x (Book),
"A safe, efficient regression test selection technique","Rothermel, G. and Harrold, M.J.",,"Regression testing is an expensive but necessary maintenance activity performed on modified software to provide confidence that changes are correct and do not adversely affect other portions of the softwore. A regression test selection technique choses, from an existing test set, thests that are deemed necessary to validate modified software. We present a new technique for regression test selection. Our algorithms construct control flow graphs for a precedure or program and its modified version and use these graphs to select tests that execute changed code from the original test suite. We prove that, under certain conditions, the set of tests our technique selects includes every test from the original test suite that con expose faults in the modified procedfdure or program. Under these conditions our algorithms are safe. Moreover, although our algorithms may select some tests that cannot expose faults, they are at lease as precise as other safe regression test selection algorithms. Unlike many other regression test selection algorithms, our algorithms handle all language constructs and all types of program modifications. We have implemented our algorithms; initial empirical studies indicate that our technique can significantly reduce the cost of regression testing modified software."
